chunk_size,cpu_count,execution_time,speedup
20000,1,1595.8670990467072,1.0
50000,1,748.1938366889954,2.1329594294828005
100000,1,396.4114742279053,4.025784324621264
20000,2,813.5923948287964,1.961506903444598
20000,4,436.9546248912811,3.6522490165741477
20000,8,300.97494435310364,5.302325422725012
20000,11,259.4790771007538,6.15027275754894
50000,2,393.9289951324463,4.051154189627871
50000,4,220.80894589424133,7.227366140369439
50000,8,157.25531125068665,10.148255638263786
50000,11,138.68665480613708,11.506998285289146
100000,2,224.82539439201355,7.098251082189126
100000,4,133.12514996528623,11.987720573181297
100000,8,111.58873677253725,14.30132776123926
100000,11,100.00297904014587,15.958195589413906
